date,canonical_theme,raw_labels,limitup_member_count,member_adv_ratio,member_median_ret,member_mean_ret,member_mean_ret_1000,turnover_share,board_height,ladder_depth,early_limit_touch_ratio,pit_timestamped_corroborated,lianban_semantic_vote,source_votes,persistence_3d,persistence_5d,followthrough_prev_theme_ret,followthrough_prev_theme_winrate,followthrough_prev_theme_bigloss,theme_score,theme_rank,lifecycle_stage
2026-07-06,机器人,机器人概念,6,1.0,0.09989766635647024,0.1166961577315156,0.09796337536236958,0.0013947336996140425,2.0,2,0.8333333333333334,True,False,2,3,4,-0.010741987316596695,0.37209302325581395,0.20930232558139536,0.6320454545454546,1,分歧
2026-07-06,算力硬件,液冷,8,1.0,0.09998687314894805,0.12405523808391486,0.09777631577542285,0.0066354968133244254,1.0,1,0.5714285714285714,True,False,2,2,3,-0.005529562915101094,0.5,0.25,0.5486363636363637,3,发酵
2026-07-06,通信,通信,6,1.0,0.10003720238095248,0.11658002782239807,0.058260321575553,0.0025499368720537257,2.0,2,0.5,False,False,1,2,2,,,,0.47500000000000003,5,发酵
2026-07-22,交换机,交换机,2,1.0,0.10017275518906077,0.10017275518906077,0.0794077278666564,0.0007761879450466998,2.0,2,0.5,False,False,1,1,1,,,,0.34687499999999993,7,启动
2026-07-22,化工,化工,3,1.0,0.19999999999999996,0.1667491409618167,0.10628290026147669,0.0009519053010266982,1.0,1,0.0,False,False,1,1,1,,,,0.328125,8,启动
2026-07-22,医药,创新药|医药,6,1.0,0.10000000000000009,0.11635737789857432,0.10488196806250875,0.0005374994537558188,1.0,1,0.8333333333333334,False,False,1,1,3,,,,0.365625,6,发酵
2026-07-22,国有企业,国有企业,3,1.0,0.10027285129604357,0.10018265463026703,0.08280813725574965,0.0013697550247820515,3.0,2,0.6666666666666666,False,False,1,2,2,,,,0.48281250000000003,4,确认
2026-07-22,地产,地产链,1,1.0,0.09980988593155904,0.09980988593155904,0.09980988593155904,5.506853709786618e-07,2.0,1,1.0,False,False,1,2,3,0.021335750152709432,0.6,0.0,0.4328125,5,分歧
2026-07-22,电力电网,智能电网|电力|绿色电力,9,1.0,0.09999999999999987,0.10003481734875559,0.06209168124366772,0.004383268643130353,5.0,3,0.3333333333333333,True,False,2,2,4,,,,0.6428124999999999,2,分歧
2026-07-22,算力硬件,算力,5,1.0,0.10027285129604357,0.12000657820202201,0.11356842602133929,0.0019084380136406302,3.0,3,1.0,True,False,2,3,4,0.016693461959454294,0.5,0.0,0.725625,1,分歧
2026-07-22,资源有色,黄金,4,1.0,0.09998650313827795,0.09994543109355836,0.06701040833295419,0.001637577702979494,2.0,2,0.5,True,False,2,2,2,,,,0.5303125,3,确认
2026-07-23,军工,军工,5,1.0,0.10003775009437543,0.11998185545454576,0.02966456165538327,0.0012051120832277976,1.0,1,0.0,False,False,1,1,1,,,,0.29375000000000007,10,启动
2026-07-23,化工,化工,7,1.0,0.1003262642740621,0.10033333059741463,0.03546273463074973,0.0012508152153762589,1.0,1,0.14285714285714285,False,False,1,2,2,0.038185715039268965,1.0,0.0,0.36374999999999996,7,发酵
2026-07-23,变压器,变压器,6,1.0,0.10006337135614707,0.11671515772079562,0.05620465868675891,0.0009402805814252397,1.0,1,0.16666666666666666,False,False,1,1,1,,,,0.33125000000000004,9,启动
2026-07-23,地产,地产链,6,1.0,0.09970905399732233,0.0997638177566164,0.07881248073107865,0.0003486318593685455,3.0,2,0.6666666666666666,False,False,1,3,3,0.10025929127052713,1.0,0.0,0.5025000000000001,4,发酵
2026-07-23,并购重组,并购重组,5,1.0,0.10025929127052713,0.12014095258434584,0.0951573488246122,0.0005162946604977853,3.0,3,0.8,False,False,1,1,2,,,,0.50375,3,发酵
2026-07-23,机器人,机器人概念,7,1.0,0.10003258390355163,0.09999713012543311,0.05114583719620537,0.000503587730512198,1.0,1,0.42857142857142855,False,False,1,2,3,,,,0.37625000000000003,6,震荡
2026-07-23,电力电网,智能电网|绿色电力,20,1.0,0.10013810977169257,0.11007317400131211,0.053262838754809604,0.005999452446153686,6.0,3,0.3,True,False,2,2,4,0.05149586094694473,0.7777777777777778,0.0,0.6612499999999999,2,回流
2026-07-23,电气设备,电气设备,15,1.0,0.10024252223120445,0.12012105756498898,0.06690731396858424,0.002014818616430987,3.0,2,0.26666666666666666,False,False,1,1,1,,,,0.4512500000000001,5,启动
2026-07-23,算力硬件,算力,7,1.0,0.10010649627263035,0.11435506454110997,0.07954808738470057,0.0020468258592047793,4.0,3,0.5714285714285714,False,False,1,3,4,0.07133900448065762,1.0,0.0,0.6624999999999999,1,回流
2026-07-23,股权转让,股权转让,4,1.0,0.09988336688161414,0.09982949314921763,0.047533098703114285,0.00048685262700106746,2.0,2,0.5,False,False,1,1,1,,,,0.33875000000000005,8,启动
2026-07-01,农业,农业,10,1.0,0.09964702389461311,0.10687508889720054,,0.0005890836165068431,1.0,1,0.0,True,False,2,1,1,,,,0.4770454545454545,7,启动
2026-07-01,化工,化工,10,1.0,0.10169753086419742,0.09973669122406692,,0.002711256357561784,2.0,2,0.0,True,False,2,1,1,,,,0.6338636363636363,1,启动
2026-07-01,医药,医药,5,1.0,0.10494652406417115,0.13550960581253518,,0.0002596751603834494,1.0,1,0.0,True,False,2,1,1,,,,0.44977272727272727,8,启动
2026-07-01,半导体,芯片,7,0.8571428571428571,0.04979253112033177,0.07650305206518586,,0.0017808402685692989,2.0,2,0.0,True,False,2,1,1,,,,0.5111363636363635,4,启动
2026-07-01,地产,地产链,6,1.0,0.08677844969763615,0.0873207412641291,,0.0016910951366489381,2.0,2,0.0,False,False,1,1,1,,,,0.4943181818181818,5,启动
2026-07-01,基础建设,基础建设,4,0.75,0.0963754564075161,0.09809573188361087,,6.368052920084215e-05,2.0,2,0.0,False,False,1,1,1,,,,0.3125,11,启动
2026-07-01,并购重组,并购重组,6,0.6666666666666666,0.08354323373128147,0.06191580335512944,,0.0003414878208158773,2.0,2,0.0,False,False,1,1,1,,,,0.3352272727272727,10,启动
2026-07-01,机器人,机器人概念,19,1.0,0.101010101010101,0.111094628859722,,0.002665266191128513,2.0,2,0.0,True,False,2,1,1,,,,0.6202272727272726,2,启动
2026-07-01,算力硬件,算力,7,1.0,0.0997075245945227,0.0829565102067064,,0.00243762884235526,2.0,2,0.0,False,False,1,1,1,,,,0.5215909090909091,3,启动
2026-07-01,股权转让,股权转让,4,1.0,0.08990974023666543,0.07764497875183757,,0.0001885573457290823,1.0,1,0.0,False,False,1,1,1,,,,0.3511363636363636,9,启动
2026-07-01,金融概念,金融概念,8,1.0,0.10363817013360388,0.11357252909408105,,0.0009240993952806129,2.0,2,0.0,False,False,1,1,1,,,,0.48068181818181815,6,启动
2026-07-13,医药,中药|创新药|医药,8,1.0,0.1001940911873408,0.11268788534696289,0.08412835152682237,0.0013288339967041434,3.0,3,0.625,True,False,2,3,3,0.051408299651361795,0.7142857142857143,0.0,0.7742857142857144,1,确认
2026-07-13,商业航天,商业航天,3,1.0,0.10005265929436558,0.09990949735626331,0.09990949735626331,0.0012732640909364594,3.0,2,1.0,True,False,2,3,3,-0.04184526062431358,0.2962962962962963,0.5555555555555556,0.6814285714285715,2,分歧
2026-07-13,基础建设,基础建设,3,1.0,0.09977324263038545,0.09972216924152844,0.09972216924152844,0.0007318862543966895,2.0,2,1.0,False,False,1,2,2,0.033644609429205476,0.6666666666666666,0.0,0.5089285714285715,3,确认
2026-07-13,天然气,天然气,2,1.0,0.1002193798402331,0.1002193798402331,0.1002193798402331,0.0008777279790698829,2.0,2,1.0,False,False,1,1,1,,,,0.4767857142857143,4,启动
2026-07-13,并购重组,并购重组,4,0.75,0.10026646832454811,0.07523127337796032,0.06093889122443922,0.0008945878406082892,2.0,2,0.3333333333333333,False,False,1,1,3,,,,0.34464285714285714,5,启动
2026-07-13,机器人,机器人概念,3,1.0,0.10017809439002678,0.10015308873750002,0.06958956116951558,0.00019197703050361433,1.0,1,0.3333333333333333,False,False,1,3,5,-0.061414718146633004,0.0,0.625,0.30000000000000004,6,分歧
2026-07-13,病毒防治,病毒防治,1,1.0,0.1000645577792123,0.1000645577792123,-0.032924467398321444,0.00024281331194156634,2.0,1,0.0,False,False,1,1,1,,,,0.2839285714285714,7,启动
2026-07-15,医药,CRO|创新药|医药,16,1.0,0.10021587069898641,0.12509671813244544,0.1106253131454215,0.006432153814617024,4.0,3,0.6875,True,False,2,3,5,0.07886915421284336,0.8333333333333334,0.0,0.8175,1,高潮
2026-07-15,基础建设,基础建设,3,1.0,0.10011732499022297,0.10021556153962059,0.06450954744684867,0.000661882319700928,3.0,2,0.3333333333333333,False,False,1,3,4,0.03909459509433868,0.8,0.0,0.49875,2,确认
2026-07-15,服装家纺,服装家纺,3,1.0,0.09999999999999987,0.10006649635944391,0.040826206937192445,0.0002739987936294174,2.0,2,0.0,False,False,1,1,1,,,,0.28625,10,分歧
2026-07-15,机器人,机器人概念,8,1.0,0.09986802423082064,0.09999179127401173,0.06313267249592136,0.0007459216244996744,3.0,3,0.5,False,False,1,3,5,-0.005010860061691531,0.42857142857142855,0.14285714285714285,0.48625,4,确认
2026-07-15,游戏影视,游戏,3,1.0,0.09987195902688861,0.09973513252966033,0.06385697492823428,0.0025691502131152412,1.0,1,0.3333333333333333,False,False,1,1,1,,,,0.36500000000000005,7,启动
2026-07-15,病毒防治,病毒防治,3,1.0,0.19976905311778292,0.1667772863380493,0.1667772863380493,0.0006706385897988091,1.0,1,1.0,False,False,1,2,2,,,,0.4512500000000001,5,发酵
2026-07-15,算力硬件,算力,3,1.0,0.10033444816053505,0.13329321003087413,0.08004317414635387,0.0010004256087926477,1.0,1,0.3333333333333333,False,False,1,2,4,-0.0344166485843466,0.3333333333333333,0.5,0.34125000000000005,9,分歧
2026-07-15,股权转让,股权转让,3,1.0,0.10000000000000009,0.09995460735360877,0.0900780641437322,0.00021191400876219453,2.0,2,0.6666666666666666,False,False,1,1,1,,,,0.35750000000000004,8,启动
2026-07-15,通信,通信,3,1.0,0.10005385029617675,0.10012943281890396,0.10012943281890396,0.00043337257733519507,2.0,2,1.0,False,False,1,2,3,0.014714123365742638,0.5555555555555556,0.0,0.49,3,分歧
2026-07-15,金融概念,金融概念,3,1.0,0.09999999999999987,0.10000234872278783,0.07692828843250132,0.001861559196198468,1.0,1,0.6666666666666666,False,False,1,1,1,,,,0.39125000000000004,6,分歧
2026-07-07,半导体,先进封装|芯片,7,1.0,0.09994086339444119,0.11410569925399162,0.0893652300847592,0.011286592333989,2.0,2,0.7142857142857143,True,False,2,2,3,-0.017639064986148312,0.5,0.5,0.6612499999999999,1,确认
2026-07-07,地产,地产链,2,1.0,0.10014326647564453,0.10014326647564453,0.05573065902578789,8.290704138517644e-05,1.0,1,0.5,False,False,1,2,4,-0.06058648201474067,0.3333333333333333,0.6666666666666666,0.28125,10,震荡
2026-07-07,并购重组,并购重组,2,1.0,0.09986601042054555,0.09986601042054555,0.09986601042054555,0.00013248383753264775,6.0,2,1.0,False,False,1,3,4,0.005458732199387435,0.5,0.3333333333333333,0.5900000000000001,2,分歧
2026-07-07,新材料概念,新材料概念,2,1.0,0.10000320829346332,0.10000320829346332,0.09757381260564058,0.0013658017649641435,1.0,1,1.0,False,False,1,1,1,,,,0.41375,6,启动
