date,source_id,code,stock_name,board_level,source_time
2026-07-13,yyqyx_limitup,600491,ST龙元,4,09:25
2026-07-13,yyqyx_limitup,600992,贵绳股份,3,09:25
2026-07-13,yyqyx_limitup,003020,立方制药,3,09:30
2026-07-13,yyqyx_limitup,001395,亚联机械,3,10:09
2026-07-13,yyqyx_limitup,605090,九丰能源,2,09:25
2026-07-13,yyqyx_limitup,601608,中信重工,2,09:25
2026-07-13,yyqyx_limitup,600664,哈药股份,2,09:34
2026-07-13,yyqyx_limitup,000920,沃顿科技,2,10:25
2026-07-13,yyqyx_limitup,600629,华建集团,2,13:11
2026-07-13,yyqyx_limitup,600513,联环药业,2,13:55
2026-07-14,yyqyx_limitup,600491,ST龙元,5,11:20
2026-07-14,yyqyx_limitup,600664,哈药股份,3,09:42
2026-07-14,yyqyx_limitup,001388,信通电子,2,09:32
2026-07-14,yyqyx_limitup,603065,宿迁联盛,2,09:56
2026-07-14,yyqyx_limitup,000078,ST海王,2,10:08
2026-07-14,yyqyx_limitup,002379,宏桥控股,2,13:54
2026-07-14,yyqyx_limitup,603137,恒尚节能,2,14:36
2026-07-15,yyqyx_limitup,600664,哈药股份,4,09:30
2026-07-15,yyqyx_limitup,001388,信通电子,3,09:31
2026-07-15,yyqyx_limitup,603137,恒尚节能,3,14:10
2026-07-15,yyqyx_limitup,603580,艾艾精工,2,09:25
2026-07-15,yyqyx_limitup,002432,九安医疗,2,09:25
2026-07-15,yyqyx_limitup,002141,贤丰控股,2,09:30
2026-07-15,yyqyx_limitup,688192,迪哲医药,2,09:31
2026-07-15,yyqyx_limitup,605255,天普股份,2,09:32
2026-07-15,yyqyx_limitup,605028,世茂能源,2,09:32
2026-07-15,yyqyx_limitup,600829,人民同泰,2,09:36
2026-07-15,yyqyx_limitup,600403,大有能源,2,09:47
2026-07-15,yyqyx_limitup,600844,金煤科技,2,10:10
2026-07-15,yyqyx_limitup,600227,赤天化,2,10:38
2026-07-15,yyqyx_limitup,600746,江苏索普,2,13:03
2026-07-15,yyqyx_limitup,605189,富春染织,2,14:23
2026-07-16,yyqyx_limitup,600664,哈药股份,5,09:25
2026-07-16,yyqyx_limitup,603580,艾艾精工,3,09:25
2026-07-16,yyqyx_limitup,600162,香江控股,2,09:30
2026-07-16,yyqyx_limitup,002739,儒意电影,2,09:30
2026-07-16,yyqyx_limitup,002365,永安药业,2,09:33
2026-07-16,yyqyx_limitup,000504,南华生物,2,09:39
2026-07-16,yyqyx_limitup,000676,智度股份,2,09:46
2026-07-16,yyqyx_limitup,600785,新华百货,2,10:32
2026-07-16,yyqyx_limitup,000566,海南海药,2,11:01
2026-07-17,yyqyx_limitup,603580,艾艾精工,4,09:25
2026-07-17,yyqyx_limitup,002677,浙江美大,3,09:25
2026-07-17,yyqyx_limitup,000676,智度股份,3,09:31
2026-07-17,yyqyx_limitup,600162,香江控股,3,14:27
2026-07-17,yyqyx_limitup,002632,道明光学,2,09:30
2026-07-17,yyqyx_limitup,603567,珍宝岛,2,09:36
2026-07-17,yyqyx_limitup,001258,立新能源,2,09:46
